transaction_date,value_date,description,reference,debit,credit,balance
2022-08-25,2022-08-25,Service payment - Customer_0035,REF48051111,0.0,97.53,9803.51
2022-08-25,2022-08-25,Invoice payment - Customer_0036,REF19637093,0.0,64.6,9868.11
2022-08-25,2022-08-25,Invoice payment - Customer_0022,REF12235015,0.0,70.73,9938.84
2022-08-25,2022-08-25,Project payment - Customer_0027,REF26142509,0.0,117.32,10056.16
2022-08-25,2022-08-25,Service payment - Customer_0061,REF61430703,0.0,127.61,10183.77
2022-08-26,2022-08-26,Service payment - Customer_0047,REF65547205,0.0,126.78,10310.55
2022-08-26,2022-08-26,Employee payroll,REF69066262,2493.09,0.0,7817.46
2022-08-26,2022-08-26,Service payment - Customer_0091,REF58642883,0.0,130.28,7947.74
2022-08-26,2022-08-26,Service payment - Customer_0035,REF68488544,0.0,128.97,8076.71
2022-08-26,2022-08-26,Service payment - Customer_0042,REF98422183,0.0,91.03,8167.74
2022-08-26,2022-08-26,Project payment - Customer_0069,REF27681714,0.0,56.16,8223.9
2022-08-27,2022-08-27,Project payment - Customer_0042,REF40861300,0.0,81.32,8305.22
2022-08-27,2022-08-27,Project payment - Customer_0035,REF15193477,0.0,99.31,8404.53
2022-08-27,2022-08-27,Invoice payment - Customer_0094,REF13065377,0.0,113.85,8518.38
2022-08-27,2022-08-27,Payment from Customer_0083,REF78178245,0.0,67.17,8585.55
2022-08-27,2022-08-27,Invoice payment - Customer_0078,REF53387731,0.0,123.96,8709.51
2022-08-27,2022-08-27,Project payment - Customer_0011,REF11384128,0.0,100.0,8809.51
2022-08-27,2022-08-27,Service payment - Customer_0032,REF30937462,0.0,78.1,8887.61
2022-08-27,2022-08-27,Service payment - Customer_0041,REF67448114,0.0,137.21,9024.82
2022-08-28,2022-08-28,Payment from Customer_0037,REF78670790,0.0,150.2,9175.02
2022-08-28,2022-08-28,Service payment - Customer_0007,REF56284905,0.0,145.6,9320.62
2022-08-28,2022-08-28,Service payment - Customer_0055,REF47493169,0.0,62.82,9383.44
2022-08-28,2022-08-28,Payment from Customer_0095,REF15219852,0.0,55.73,9439.17
2022-08-28,2022-08-28,Payment from Customer_0083,REF86596708,0.0,77.14,9516.31
2022-08-28,2022-08-28,Service payment - Customer_0087,REF64712638,0.0,108.9,9625.21
2022-08-28,2022-08-28,Service payment - Customer_0004,REF68201797,0.0,67.25,9692.46
2022-08-28,2022-08-28,Project payment - Customer_0063,REF69702334,0.0,85.47,9777.93
2022-08-28,2022-08-28,Inventory purchase,REF15053942,4009.34,0.0,5768.59
2022-08-28,2022-08-28,Invoice payment - Customer_0003,REF65256545,0.0,81.19,5849.78
2022-08-28,2022-08-28,Service payment - Customer_0001,REF65251817,0.0,53.62,5903.4
2022-08-29,2022-08-29,Service payment - Customer_0081,REF83478065,0.0,87.34,5990.74
2022-08-29,2022-08-29,Invoice payment - Customer_0050,REF76036721,0.0,129.1,6119.84
2022-08-29,2022-08-29,Payment from Customer_0041,REF20784963,0.0,117.79,6237.63
2022-08-29,2022-08-29,Service payment - Customer_0051,REF44708172,0.0,62.06,6299.69
2022-08-29,2022-08-29,Payment from Customer_0088,REF99980982,0.0,125.03,6424.72
2022-08-29,2022-08-29,Payment from Customer_0070,REF47540723,0.0,58.37,6483.09
2022-08-29,2022-08-29,Invoice payment - Customer_0017,REF88705533,0.0,79.23,6562.32
2022-08-29,2022-08-29,Project payment - Customer_0044,REF71131723,0.0,29.8,6592.12
2022-08-29,2022-08-29,Project payment - Customer_0046,REF98980151,0.0,122.99,6715.11
2022-08-29,2022-08-29,Invoice payment - Customer_0075,REF70961438,0.0,134.86,6849.97
2022-08-29,2022-08-29,Service payment - Customer_0021,REF36123091,0.0,67.74,6917.71
2022-08-30,2022-08-30,Payment from Customer_0067,REF46727241,0.0,110.91,7028.62
2022-08-30,2022-08-30,Service payment - Customer_0078,REF56070884,0.0,112.55,7141.17
2022-08-30,2022-08-30,Project payment - Customer_0037,REF47236922,0.0,99.56,7240.73
2022-08-30,2022-08-30,Invoice payment - Customer_0043,REF18213553,0.0,105.87,7346.6
2022-08-30,2022-08-30,Service payment - Customer_0083,REF98340651,0.0,64.9,7411.5
2022-08-30,2022-08-30,Project payment - Customer_0084,REF73036884,0.0,97.03,7508.53
2022-08-30,2022-08-30,Service payment - Customer_0052,REF28974511,0.0,42.58,7551.11
2022-08-30,2022-08-30,Service payment - Customer_0045,REF55363946,0.0,69.29,7620.4
2022-08-30,2022-08-30,Invoice payment - Customer_0001,REF86679707,0.0,96.1,7716.5
2022-08-30,2022-08-30,Project payment - Customer_0009,REF23649814,0.0,81.92,7798.42
2022-08-30,2022-08-30,Project payment - Customer_0080,REF45204416,0.0,31.09,7829.51
2022-08-30,2022-08-30,Invoice payment - Customer_0068,REF50334088,0.0,53.17,7882.68
2022-08-30,2022-08-30,Project payment - Customer_0053,REF46014565,0.0,137.98,8020.66
2022-08-31,2022-08-31,Service payment - Customer_0083,REF41169960,0.0,74.44,8095.1
2022-08-31,2022-08-31,Payment from Customer_0085,REF79876658,0.0,118.22,8213.32
2022-08-31,2022-08-31,Service payment - Customer_0009,REF24475926,0.0,70.23,8283.55
2022-08-31,2022-08-31,Project payment - Customer_0023,REF94516381,0.0,90.79,8374.34
2022-08-31,2022-08-31,Project payment - Customer_0005,REF35676223,0.0,31.0,8405.34
2022-08-31,2022-08-31,Invoice payment - Customer_0087,REF50961473,0.0,87.79,8493.13
2022-08-31,2022-08-31,Invoice payment - Customer_0014,REF35378147,0.0,95.66,8588.79
2022-09-01,2022-09-01,Project payment - Customer_0098,REF36049403,0.0,62.8,8651.59
2022-09-01,2022-09-01,Payment from Customer_0085,REF86328673,0.0,122.29,8773.88
2022-09-01,2022-09-01,Service payment - Customer_0072,REF96122240,0.0,129.17,8903.05
2022-09-01,2022-09-01,Payment from Customer_0084,REF97780687,0.0,87.94,8990.99
2022-09-01,2022-09-01,Payment from Customer_0075,REF67637892,0.0,114.32,9105.31
2022-09-01,2022-09-01,Service payment - Customer_0021,REF13613695,0.0,70.95,9176.26
2022-09-01,2022-09-01,Monthly office rent,REF37261936,1230.3,0.0,7945.96
2022-09-01,2022-09-01,Invoice payment - Customer_0047,REF76805846,0.0,106.56,8052.52
2022-09-01,2022-09-01,Project payment - Customer_0074,REF81982862,0.0,52.57,8105.09
2022-09-02,2022-09-02,Invoice payment - Customer_0078,REF14828786,0.0,100.68,8205.77
2022-09-02,2022-09-02,Invoice payment - Customer_0071,REF48368921,0.0,46.8,8252.57
2022-09-02,2022-09-02,Service payment - Customer_0000,REF69359609,0.0,39.67,8292.24
2022-09-02,2022-09-02,Invoice payment - Customer_0084,REF87502083,0.0,96.29,8388.53
2022-09-02,2022-09-02,Payment from Customer_0099,REF58988359,0.0,44.36,8432.89
2022-09-02,2022-09-02,Service payment - Customer_0035,REF69128046,0.0,158.77,8591.66
2022-09-02,2022-09-02,Project payment - Customer_0083,REF50647097,0.0,74.54,8666.2
2022-09-02,2022-09-02,Invoice payment - Customer_0053,REF12779298,0.0,109.89,8776.09
2022-09-02,2022-09-02,Invoice payment - Customer_0023,REF81910254,0.0,87.67,8863.76
2022-09-02,2022-09-02,Payment from Customer_0010,REF90163307,0.0,76.57,8940.33
2022-09-02,2022-09-02,Invoice payment - Customer_0004,REF13936430,0.0,54.82,8995.15
2022-09-03,2022-09-03,Professional Services expense,REF58639050,176.49,0.0,8818.66
2022-09-03,2022-09-03,Payment from Customer_0059,REF11489766,0.0,60.05,8878.71
2022-09-03,2022-09-03,Invoice payment - Customer_0094,REF35941763,0.0,84.64,8963.35
2022-09-03,2022-09-03,Invoice payment - Customer_0021,REF64556559,0.0,81.99,9045.34
2022-09-03,2022-09-03,Service payment - Customer_0099,REF56019995,0.0,53.73,9099.07
2022-09-03,2022-09-03,Project payment - Customer_0041,REF55890427,0.0,163.32,9262.39
2022-09-03,2022-09-03,Service payment - Customer_0037,REF25692077,0.0,150.26,9412.65
2022-09-03,2022-09-03,Project payment - Customer_0086,REF42033793,0.0,88.21,9500.86
2022-09-03,2022-09-03,Invoice payment - Customer_0091,REF85218468,0.0,139.53,9640.39
2022-09-03,2022-09-03,Invoice payment - Customer_0080,REF16773535,0.0,38.75,9679.14
2022-09-03,2022-09-03,Service payment - Customer_0066,REF23221118,0.0,66.05,9745.19
2022-09-04,2022-09-04,Service payment - Customer_0004,REF24114762,0.0,51.76,9796.95
2022-09-04,2022-09-04,Service payment - Customer_0005,REF85387284,0.0,31.02,9827.97
2022-09-04,2022-09-04,Service payment - Customer_0026,REF14908174,0.0,100.73,9928.7
2022-09-04,2022-09-04,Payment from Customer_0034,REF42496207,0.0,99.16,10027.86
2022-09-04,2022-09-04,Service payment - Customer_0071,REF13225279,0.0,43.44,10071.3
2022-09-04,2022-09-04,Payment from Customer_0024,REF99381109,0.0,77.94,10149.24
2022-09-04,2022-09-04,Payment from Customer_0044,REF13207842,0.0,29.99,10179.23
2022-09-04,2022-09-04,Invoice payment - Customer_0066,REF93074546,0.0,56.16,10235.39
2022-09-04,2022-09-04,Invoice payment - Customer_0090,REF50407303,0.0,113.27,10348.66
2022-09-04,2022-09-04,Payment from Customer_0046,REF37380656,0.0,125.45,10474.11
2022-09-04,2022-09-04,Project payment - Customer_0015,REF62997869,0.0,125.41,10599.52
2022-09-04,2022-09-04,Service payment - Customer_0072,REF71244488,0.0,113.19,10712.71
2022-09-05,2022-09-05,Project payment - Customer_0019,REF29429573,0.0,79.29,10792.0
2022-09-05,2022-09-05,Service payment - Customer_0037,REF91038284,0.0,160.34,10952.34
2022-09-05,2022-09-05,Project payment - Customer_0012,REF92637954,0.0,85.27,11037.61
2022-09-05,2022-09-05,Project payment - Customer_0004,REF87357294,0.0,69.96,11107.57
2022-09-05,2022-09-05,Project payment - Customer_0036,REF20341731,0.0,57.71,11165.28
2022-09-05,2022-09-05,Payment from Customer_0088,REF14936264,0.0,97.78,11263.06
2022-09-06,2022-09-06,Payment from Customer_0020,REF53060061,0.0,95.88,11358.94
2022-09-06,2022-09-06,Payment from Customer_0076,REF62415710,0.0,10.0,11368.94
2022-09-06,2022-09-06,Payment from Customer_0085,REF26320985,0.0,104.45,11473.39
2022-09-06,2022-09-06,Payment from Customer_0015,REF56407204,0.0,79.7,11553.09
2022-09-06,2022-09-06,Invoice payment - Customer_0094,REF83993534,0.0,96.13,11649.22
2022-09-06,2022-09-06,Service payment - Customer_0091,REF52264905,0.0,133.42,11782.64
2022-09-06,2022-09-06,Invoice payment - Customer_0059,REF16345202,0.0,80.34,11862.98
2022-09-06,2022-09-06,Invoice payment - Customer_0069,REF90363305,0.0,71.52,11934.5
2022-09-07,2022-09-07,Payment from Customer_0035,REF92175018,0.0,98.65,12033.15
2022-09-07,2022-09-07,Service payment - Customer_0094,REF19265968,0.0,82.08,12115.23
2022-09-07,2022-09-07,Payment from Customer_0061,REF20601080,0.0,131.43,12246.66
2022-09-07,2022-09-07,Invoice payment - Customer_0091,REF21990110,0.0,141.74,12388.4
2022-09-07,2022-09-07,Service payment - Customer_0095,REF59123160,0.0,116.21,12504.61
2022-09-07,2022-09-07,Project payment - Customer_0056,REF21412158,0.0,27.61,12532.22
2022-09-07,2022-09-07,Project payment - Customer_0002,REF16017437,0.0,79.68,12611.9
2022-09-07,2022-09-07,Service payment - Customer_0018,REF31849784,0.0,85.74,12697.64
2022-09-07,2022-09-07,Project payment - Customer_0082,REF96173659,0.0,117.01,12814.65
2022-09-08,2022-09-08,Service payment - Customer_0057,REF97142670,0.0,117.99,12932.64
2022-09-08,2022-09-08,Service payment - Customer_0066,REF54856169,0.0,61.46,12994.1
2022-09-08,2022-09-08,Invoice payment - Customer_0091,REF47082227,0.0,102.54,13096.64
2022-09-08,2022-09-08,Service payment - Customer_0054,REF55956013,0.0,73.52,13170.16
2022-09-08,2022-09-08,Service payment - Customer_0053,REF87188112,0.0,72.25,13242.41
2022-09-08,2022-09-08,Project payment - Customer_0010,REF98807550,0.0,107.3,13349.71
2022-09-08,2022-09-08,Project payment - Customer_0060,REF88214677,0.0,86.93,13436.64
2022-09-08,2022-09-08,Project payment - Customer_0007,REF42091637,0.0,153.74,13590.38
2022-09-08,2022-09-08,Payment from Customer_0028,REF16348403,0.0,98.14,13688.52
2022-09-08,2022-09-08,Payment from Customer_0078,REF65507444,0.0,149.5,13838.02
2022-09-08,2022-09-08,Payment from Customer_0071,REF59540459,0.0,38.9,13876.92
2022-09-09,2022-09-09,Payment from Customer_0026,REF70787863,0.0,97.89,13974.81
2022-09-09,2022-09-09,Project payment - Customer_0080,REF27626203,0.0,24.34,13999.15
2022-09-09,2022-09-09,Payment from Customer_0042,REF93547114,0.0,108.13,14107.28
2022-09-09,2022-09-09,Service payment - Customer_0060,REF84160672,0.0,79.1,14186.38
2022-09-09,2022-09-09,Invoice payment - Customer_0087,REF33197722,0.0,78.9,14265.28
2022-09-09,2022-09-09,Payment from Customer_0064,REF92848317,0.0,32.39,14297.67
2022-09-09,2022-09-09,Project payment - Customer_0095,REF63583637,0.0,83.95,14381.62
2022-09-09,2022-09-09,Invoice payment - Customer_0067,REF59548700,0.0,115.12,14496.74
2022-09-09,2022-09-09,Invoice payment - Customer_0070,REF10801959,0.0,61.05,14557.79
2022-09-09,2022-09-09,Payment from Customer_0093,REF18829739,0.0,89.12,14646.91
2022-09-10,2022-09-10,Payment from Customer_0093,REF44954852,0.0,137.17,14784.08
2022-09-10,2022-09-10,Project payment - Customer_0082,REF91395257,0.0,174.17,14958.25
2022-09-10,2022-09-10,Invoice payment - Customer_0053,REF80045168,0.0,122.26,15080.51
2022-09-10,2022-09-10,Project payment - Customer_0003,REF32455238,0.0,82.08,15162.59
2022-09-10,2022-09-10,Payment from Customer_0006,REF10238676,0.0,60.06,15222.65
2022-09-10,2022-09-10,Project payment - Customer_0066,REF10209606,0.0,61.4,15284.05
2022-09-10,2022-09-10,Invoice payment - Customer_0088,REF98507418,0.0,104.17,15388.22
2022-09-10,2022-09-10,Marketing expenses,REF64477115,297.42,0.0,15090.8
2022-09-11,2022-09-11,Payment from Customer_0066,REF59012465,0.0,46.17,15136.97
2022-09-11,2022-09-11,Payment from Customer_0000,REF47815962,0.0,45.58,15182.55
2022-09-11,2022-09-11,Project payment - Customer_0005,REF42455272,0.0,33.75,15216.3
2022-09-11,2022-09-11,Invoice payment - Customer_0089,REF66375526,0.0,108.07,15324.37
2022-09-11,2022-09-11,Service payment - Customer_0083,REF62204111,0.0,60.91,15385.28
2022-09-11,2022-09-11,Inventory purchase,REF11863704,3515.25,0.0,11870.03
2022-09-11,2022-09-11,Project payment - Customer_0026,REF43875901,0.0,88.4,11958.43
2022-09-11,2022-09-11,Service payment - Customer_0043,REF36062661,0.0,127.14,12085.57
2022-09-11,2022-09-11,Project payment - Customer_0003,REF31024097,0.0,76.25,12161.82
2022-09-11,2022-09-11,Payment from Customer_0029,REF36602267,0.0,72.52,12234.34
2022-09-11,2022-09-11,Payment from Customer_0053,REF67260172,0.0,136.78,12371.12
2022-09-12,2022-09-12,Payment from Customer_0000,REF32712636,0.0,45.74,12416.86
2022-09-12,2022-09-12,Invoice payment - Customer_0048,REF31736747,0.0,69.83,12486.69
2022-09-12,2022-09-12,Project payment - Customer_0017,REF67857064,0.0,74.84,12561.53
2022-09-12,2022-09-12,Invoice payment - Customer_0038,REF84829073,0.0,55.2,12616.73
2022-09-12,2022-09-12,Payment from Customer_0057,REF22779497,0.0,109.95,12726.68
2022-09-12,2022-09-12,Payment from Customer_0027,REF31797503,0.0,66.77,12793.45
2022-09-12,2022-09-12,Invoice payment - Customer_0069,REF92568542,0.0,64.07,12857.52
2022-09-12,2022-09-12,Service payment - Customer_0006,REF58804729,0.0,76.46,12933.98
2022-09-13,2022-09-13,Payment from Customer_0053,REF73716633,0.0,163.35,13097.33
2022-09-13,2022-09-13,Project payment - Customer_0092,REF57093328,0.0,63.24,13160.57
2022-09-13,2022-09-13,Payment from Customer_0094,REF66930236,0.0,59.23,13219.8
2022-09-13,2022-09-13,Invoice payment - Customer_0067,REF84359960,0.0,91.57,13311.37
2022-09-14,2022-09-14,Payment from Customer_0073,REF43065171,0.0,145.53,13456.9
2022-09-14,2022-09-14,Service payment - Customer_0070,REF20978982,0.0,54.47,13511.37
2022-09-14,2022-09-14,Invoice payment - Customer_0075,REF90838301,0.0,116.78,13628.15
2022-09-14,2022-09-14,Project payment - Customer_0080,REF80608324,0.0,42.56,13670.71
2022-09-14,2022-09-14,Invoice payment - Customer_0090,REF62012506,0.0,74.9,13745.61
2022-09-14,2022-09-14,Service payment - Customer_0067,REF72819592,0.0,113.21,13858.82
2022-09-14,2022-09-14,Service payment - Customer_0077,REF17441962,0.0,79.09,13937.91
2022-09-14,2022-09-14,Invoice payment - Customer_0044,REF55692550,0.0,35.29,13973.2
2022-09-14,2022-09-14,Service payment - Customer_0095,REF14246875,0.0,79.08,14052.28
2022-09-14,2022-09-14,Project payment - Customer_0082,REF48292212,0.0,154.94,14207.22
2022-09-14,2022-09-14,Service payment - Customer_0091,REF28783722,0.0,114.64,14321.86
2022-09-14,2022-09-14,Project payment - Customer_0079,REF23973654,0.0,88.81,14410.67
2022-09-14,2022-09-14,Invoice payment - Customer_0092,REF65953390,0.0,55.47,14466.14
2022-09-14,2022-09-14,Payment from Customer_0040,REF33264990,0.0,36.85,14502.99
2022-09-14,2022-09-14,Payment from Customer_0042,REF99287659,0.0,61.66,14564.65
2022-09-14,2022-09-14,Payment from Customer_0098,REF41779131,0.0,77.43,14642.08
2022-09-14,2022-09-14,Invoice payment - Customer_0058,REF87756642,0.0,32.8,14674.88
2022-09-15,2022-09-15,Payment from Customer_0097,REF70082399,0.0,58.92,14733.8
2022-09-15,2022-09-15,Project payment - Customer_0098,REF51521524,0.0,87.67,14821.47
2022-09-15,2022-09-15,Service payment - Customer_0069,REF87315014,0.0,79.11,14900.58
2022-09-15,2022-09-15,Payment from Customer_0018,REF21943752,0.0,91.8,14992.38
2022-09-15,2022-09-15,Project payment - Customer_0056,REF93786541,0.0,35.88,15028.26
2022-09-15,2022-09-15,Project payment - Customer_0009,REF34966383,0.0,66.43,15094.69
2022-09-15,2022-09-15,Business insurance premium,REF97916399,163.41,0.0,14931.28
2022-09-16,2022-09-16,Project payment - Customer_0036,REF99796959,0.0,50.38,14981.66
2022-09-16,2022-09-16,Invoice payment - Customer_0008,REF87879609,0.0,114.41,15096.07
2022-09-16,2022-09-16,Payment from Customer_0055,REF66793052,0.0,58.58,15154.65
2022-09-16,2022-09-16,Service payment - Customer_0089,REF14682756,0.0,110.6,15265.25
2022-09-16,2022-09-16,Project payment - Customer_0044,REF22922112,0.0,32.82,15298.07
2022-09-16,2022-09-16,Service payment - Customer_0039,REF60735396,0.0,143.93,15442.0
2022-09-16,2022-09-16,Invoice payment - Customer_0031,REF21566094,0.0,101.42,15543.42
2022-09-16,2022-09-16,Service payment - Customer_0061,REF43980276,0.0,144.85,15688.27
2022-09-16,2022-09-16,Service payment - Customer_0080,REF29788291,0.0,41.27,15729.54
2022-09-16,2022-09-16,Service payment - Customer_0097,REF51837521,0.0,64.8,15794.34
2022-09-16,2022-09-16,Invoice payment - Customer_0084,REF43267079,0.0,64.16,15858.5
2022-09-16,2022-09-16,Project payment - Customer_0003,REF77797935,0.0,65.27,15923.77
2022-09-16,2022-09-16,Invoice payment - Customer_0065,REF55717440,0.0,42.23,15966.0
2022-09-16,2022-09-16,Invoice payment - Customer_0059,REF63246788,0.0,67.92,16033.92
2022-09-17,2022-09-17,Service payment - Customer_0059,REF67964792,0.0,85.92,16119.84
2022-09-17,2022-09-17,Payment from Customer_0026,REF25737550,0.0,121.57,16241.41
2022-09-17,2022-09-17,Service payment - Customer_0028,REF87175442,0.0,99.92,16341.33
2022-09-18,2022-09-18,Payment from Customer_0030,REF51267810,0.0,47.42,16388.75
2022-09-18,2022-09-18,Project payment - Customer_0036,REF67534116,0.0,69.43,16458.18
2022-09-18,2022-09-18,Project payment - Customer_0079,REF87572608,0.0,96.88,16555.06
2022-09-18,2022-09-18,Service payment - Customer_0002,REF74957543,0.0,83.02,16638.08
2022-09-18,2022-09-18,Payment from Customer_0003,REF23246586,0.0,100.71,16738.79
2022-09-18,2022-09-18,Service payment - Customer_0045,REF12820798,0.0,92.24,16831.03
2022-09-18,2022-09-18,Project payment - Customer_0041,REF34230749,0.0,155.92,16986.95
2022-09-18,2022-09-18,Payment from Customer_0056,REF95143218,0.0,42.27,17029.22
2022-09-18,2022-09-18,Payment from Customer_0048,REF59198875,0.0,105.21,17134.43
2022-09-18,2022-09-18,Invoice payment - Customer_0049,REF75398551,0.0,75.91,17210.34
2022-09-18,2022-09-18,Service payment - Customer_0001,REF10446347,0.0,60.33,17270.67
2022-09-18,2022-09-18,Invoice payment - Customer_0072,REF81912054,0.0,139.51,17410.18
2022-09-18,2022-09-18,Project payment - Customer_0070,REF97853963,0.0,49.21,17459.39
2022-09-19,2022-09-19,Invoice payment - Customer_0071,REF34414710,0.0,30.55,17489.94
2022-09-19,2022-09-19,Project payment - Customer_0096,REF60453766,0.0,84.49,17574.43
2022-09-19,2022-09-19,Project payment - Customer_0045,REF29281680,0.0,102.44,17676.87
2022-09-19,2022-09-19,Invoice payment - Customer_0095,REF85218469,0.0,64.65,17741.52
2022-09-19,2022-09-19,Project payment - Customer_0026,REF14032313,0.0,87.24,17828.76
2022-09-19,2022-09-19,Payment from Customer_0008,REF34512333,0.0,91.75,17920.51
2022-09-19,2022-09-19,Project payment - Customer_0068,REF23368270,0.0,51.22,17971.73
