transaction_date,value_date,description,reference,debit,credit,balance
2012-10-15,2012-10-15,Project payment - Thomas-Smith,REF97779410,0.0,461.26,7177.36
2012-10-15,2012-10-15,Project payment - Neal-Lopez,REF44268455,0.0,504.16,7681.52
2012-10-15,2012-10-15,"Service payment - Fuentes, Stephens and Lee",REF75599454,0.0,732.29,8413.81
2012-10-20,2012-10-20,Marketing expenses,REF38797373,478.08,0.0,7935.73
2012-10-20,2012-10-20,Coworking space rental,REF63628239,314.79,0.0,7620.94
2012-10-21,2012-10-21,Professional software license,REF36130528,223.99,0.0,7396.95
2012-10-21,2012-10-21,Equipment purchase,REF66986232,124.82,0.0,7272.13
2012-11-09,2012-11-09,Business meal,REF80810312,339.78,0.0,6932.35
2012-11-11,2012-11-11,Business travel,REF58331610,328.02,0.0,6604.33
2012-11-15,2012-11-15,Service payment - Ayala-French,REF49701816,0.0,452.82,7057.15
2012-11-15,2012-11-15,"Service payment - Nguyen, Palmer and Gonzalez",REF89025492,0.0,768.9,7826.05
2012-11-15,2012-11-15,Business insurance premium,REF47572907,152.67,0.0,7673.38
2012-11-15,2012-11-15,Service payment - Thomas-Smith,REF62494472,0.0,629.58,8302.96
2012-11-15,2012-11-15,Service payment - Neal-Lopez,REF55869359,0.0,608.83,8911.79
2012-11-15,2012-11-15,Invoice payment - Rhodes-Jefferson,REF40885741,0.0,600.91,9512.7
2012-11-15,2012-11-15,"Service payment - Rhodes, Schmidt and Benitez",REF24159321,0.0,752.3,10265.0
2012-11-15,2012-11-15,"Invoice payment - Fuentes, Stephens and Lee",REF36521701,0.0,605.89,10870.89
2012-11-15,2012-11-15,Project payment - Schmidt-Moran,REF95717664,0.0,666.44,11537.33
2012-11-16,2012-11-16,Business travel,REF32494465,395.14,0.0,11142.19
2012-11-21,2012-11-21,Professional software license,REF75670666,236.46,0.0,10905.73
2012-11-22,2012-11-22,Business travel,REF23118740,364.39,0.0,10541.34
2012-11-24,2012-11-24,Marketing expenses,REF47632379,382.73,0.0,10158.61
2012-11-26,2012-11-26,Training/conference,REF19470509,115.55,0.0,10043.06
2012-11-30,2012-11-30,Marketing expenses,REF23410997,341.51,0.0,9701.55
2012-12-01,2012-12-01,Marketing expenses,REF14083797,210.89,0.0,9490.66
2012-12-01,2012-12-01,Accounting expense,REF71708008,144.57,0.0,9346.09
2012-12-03,2012-12-03,Coworking space rental,REF54987538,111.49,0.0,9234.6
2012-12-11,2012-12-11,Accounting expense,REF85475029,164.62,0.0,9069.98
2012-12-15,2012-12-15,"Payment from Rhodes, Schmidt and Benitez",REF17002042,0.0,914.7,9984.68
2012-12-15,2012-12-15,Project payment - Neal-Lopez,REF92163603,0.0,455.18,10439.86
2012-12-15,2012-12-15,"Project payment - Nguyen, Palmer and Gonzalez",REF60604158,0.0,656.45,11096.31
2012-12-15,2012-12-15,Payment from Rhodes-Jefferson,REF44357946,0.0,492.11,11588.42
2012-12-15,2012-12-15,"Service payment - Fuentes, Stephens and Lee",REF80421001,0.0,556.98,12145.4
2012-12-15,2012-12-15,Business insurance premium,REF58835578,124.65,0.0,12020.75
2012-12-15,2012-12-15,Service payment - Schmidt-Moran,REF90902306,0.0,467.79,12488.54
2012-12-16,2012-12-16,Marketing expenses,REF93908824,265.43,0.0,12223.11
2012-12-17,2012-12-17,Business travel,REF35616077,303.16,0.0,11919.95
2012-12-19,2012-12-19,Marketing expenses,REF94560652,312.82,0.0,11607.13
2012-12-21,2012-12-21,Professional software license,REF49749079,181.59,0.0,11425.54
2012-12-22,2012-12-22,Business meal,REF41273605,191.93,0.0,11233.61
2012-12-23,2012-12-23,Coworking space rental,REF44921086,337.59,0.0,10896.02
2012-12-26,2012-12-26,Training/conference,REF22261257,176.48,0.0,10719.54
2013-01-02,2013-01-02,Business travel,REF32258011,404.54,0.0,10315.0
2013-01-05,2013-01-05,Business meal,REF96016509,292.43,0.0,10022.57
2013-01-07,2013-01-07,Business travel,REF22513376,376.77,0.0,9645.8
2013-01-15,2013-01-15,Business insurance premium,REF66717378,169.41,0.0,9476.39
2013-01-15,2013-01-15,"Payment from Nguyen, Palmer and Gonzalez",REF12886217,0.0,946.67,10423.06
2013-01-15,2013-01-15,Project payment - Neal-Lopez,REF99760207,0.0,691.07,11114.13
2013-01-15,2013-01-15,Service payment - Thomas-Smith,REF90243664,0.0,743.44,11857.57
2013-01-15,2013-01-15,"Invoice payment - Rhodes, Schmidt and Benitez",REF84499307,0.0,988.38,12845.95
2013-01-15,2013-01-15,Invoice payment - Rhodes-Jefferson,REF49092417,0.0,655.67,13501.62
2013-01-15,2013-01-15,"Service payment - Fuentes, Stephens and Lee",REF78076204,0.0,563.68,14065.3
2013-01-15,2013-01-15,Invoice payment - Schmidt-Moran,REF89452527,0.0,608.94,14674.24
2013-01-16,2013-01-16,Training/conference,REF81925674,350.93,0.0,14323.31
2013-01-20,2013-01-20,Coworking space rental,REF63994816,149.1,0.0,14174.21
2013-01-20,2013-01-20,Business travel,REF99878863,622.54,0.0,13551.67
2013-01-21,2013-01-21,Professional software license,REF99401420,262.69,0.0,13288.98
2013-02-06,2013-02-06,Training/conference,REF95064697,165.96,0.0,13123.02
2013-02-10,2013-02-10,Marketing expenses,REF46530563,225.37,0.0,12897.65
2013-02-11,2013-02-11,Coworking space rental,REF88696338,129.2,0.0,12768.45
2013-02-12,2013-02-12,Training/conference,REF50191558,239.09,0.0,12529.36
2013-02-15,2013-02-15,Payment from Schmidt-Moran,REF30750166,0.0,567.37,13096.73
2013-02-15,2013-02-15,Payment from Ayala-French,REF94602273,0.0,356.35,13453.08
2013-02-15,2013-02-15,Business insurance premium,REF81960654,163.44,0.0,13289.64
2013-02-15,2013-02-15,Service payment - Neal-Lopez,REF52081104,0.0,538.2,13827.84
2013-02-15,2013-02-15,Project payment - Rhodes-Jefferson,REF53968186,0.0,627.85,14455.69
2013-02-15,2013-02-15,"Payment from Fuentes, Stephens and Lee",REF51452551,0.0,537.95,14993.64
2013-02-15,2013-02-15,"Service payment - Rhodes, Schmidt and Benitez",REF15026413,0.0,837.71,15831.35
2013-02-15,2013-02-15,"Service payment - Nguyen, Palmer and Gonzalez",REF47811013,0.0,591.19,16422.54
2013-02-15,2013-02-15,Project payment - Thomas-Smith,REF31408502,0.0,478.15,16900.69
2013-02-16,2013-02-16,Business meal,REF62309574,361.75,0.0,16538.94
2013-02-20,2013-02-20,Marketing expenses,REF23273700,379.34,0.0,16159.6
2013-02-21,2013-02-21,Professional software license,REF97311250,252.64,0.0,15906.96
2013-03-01,2013-03-01,Business travel,REF50373348,392.43,0.0,15514.53
2013-03-02,2013-03-02,Marketing expenses,REF59761228,113.81,0.0,15400.72
2013-03-04,2013-03-04,Marketing expenses,REF76999533,283.97,0.0,15116.75
2013-03-06,2013-03-06,Marketing expenses,REF52832514,322.46,0.0,14794.29
2013-03-07,2013-03-07,Training/conference,REF24614971,88.85,0.0,14705.44
2013-03-10,2013-03-10,Coworking space rental,REF73305801,134.92,0.0,14570.52
2013-03-14,2013-03-14,Marketing expenses,REF25367279,287.38,0.0,14283.14
2013-03-15,2013-03-15,"Invoice payment - Fuentes, Stephens and Lee",REF88757373,0.0,513.86,14797.0
2013-03-15,2013-03-15,"Project payment - Rhodes, Schmidt and Benitez",REF74140438,0.0,966.12,15763.12
2013-03-15,2013-03-15,"Invoice payment - Nguyen, Palmer and Gonzalez",REF19477501,0.0,748.91,16512.03
2013-03-15,2013-03-15,Project payment - Rhodes-Jefferson,REF49994268,0.0,553.9,17065.93
2013-03-15,2013-03-15,Payment from Neal-Lopez,REF69121259,0.0,560.06,17625.99
2013-03-15,2013-03-15,Payment from Thomas-Smith,REF61365469,0.0,326.59,17952.58
2013-03-15,2013-03-15,Business insurance premium,REF39147961,149.01,0.0,17803.57
2013-03-21,2013-03-21,Marketing expenses,REF53381426,160.18,0.0,17643.39
2013-03-21,2013-03-21,Professional software license,REF28815485,187.76,0.0,17455.63
2013-03-21,2013-03-21,Coworking space rental,REF24060954,98.19,0.0,17357.44
2013-03-24,2013-03-24,Coworking space rental,REF13219212,417.02,0.0,16940.42
2013-03-29,2013-03-29,Business meal,REF28144704,342.68,0.0,16597.74
2013-04-01,2013-04-01,Business meal,REF26451732,357.36,0.0,16240.38
2013-04-12,2013-04-12,Coworking space rental,REF49453499,365.32,0.0,15875.06
2013-04-15,2013-04-15,Business insurance premium,REF51945715,135.84,0.0,15739.22
2013-04-15,2013-04-15,Payment from Thomas-Smith,REF13214419,0.0,649.67,16388.89
2013-04-15,2013-04-15,"Service payment - Nguyen, Palmer and Gonzalez",REF94753067,0.0,570.32,16959.21
2013-04-15,2013-04-15,Project payment - Ayala-French,REF86433849,0.0,283.46,17242.67
2013-04-15,2013-04-15,Invoice payment - Neal-Lopez,REF53067735,0.0,412.2,17654.87
2013-04-15,2013-04-15,"Project payment - Fuentes, Stephens and Lee",REF37372700,0.0,557.74,18212.61
2013-04-15,2013-04-15,Invoice payment - Schmidt-Moran,REF51854461,0.0,639.01,18851.62
2013-04-21,2013-04-21,Professional software license,REF38263734,181.63,0.0,18669.99
2013-04-24,2013-04-24,Accounting expense,REF39298337,179.46,0.0,18490.53
2013-05-02,2013-05-02,Business meal,REF41510869,320.92,0.0,18169.61
2013-05-02,2013-05-02,Coworking space rental,REF70536234,229.75,0.0,17939.86
2013-05-03,2013-05-03,Coworking space rental,REF52540870,414.98,0.0,17524.88
2013-05-08,2013-05-08,Business meal,REF38650554,187.19,0.0,17337.69
2013-05-15,2013-05-15,Business insurance premium,REF85916288,125.23,0.0,17212.46
2013-05-15,2013-05-15,Payment from Thomas-Smith,REF65076788,0.0,426.4,17638.86
2013-05-15,2013-05-15,Payment from Ayala-French,REF51482684,0.0,338.39,17977.25
2013-05-15,2013-05-15,"Service payment - Rhodes, Schmidt and Benitez",REF57219531,0.0,589.84,18567.09
2013-05-15,2013-05-15,Invoice payment - Schmidt-Moran,REF50491890,0.0,497.72,19064.81
2013-05-15,2013-05-15,Project payment - Rhodes-Jefferson,REF32272817,0.0,409.46,19474.27
2013-05-15,2013-05-15,"Payment from Fuentes, Stephens and Lee",REF49973367,0.0,443.68,19917.95
2013-05-15,2013-05-15,Service payment - Neal-Lopez,REF47941490,0.0,529.91,20447.86
2013-05-15,2013-05-15,"Invoice payment - Nguyen, Palmer and Gonzalez",REF59315162,0.0,525.83,20973.69
2013-05-21,2013-05-21,Professional software license,REF84995183,205.86,0.0,20767.83
2013-05-26,2013-05-26,Business travel,REF49936246,50.57,0.0,20717.26
2013-05-26,2013-05-26,Business meal,REF29454440,219.58,0.0,20497.68
2013-06-06,2013-06-06,Training/conference,REF94751349,123.38,0.0,20374.3
2013-06-13,2013-06-13,Equipment purchase,REF27466815,83.14,0.0,20291.16
2013-06-15,2013-06-15,Service payment - Schmidt-Moran,REF33234756,0.0,393.24,20684.4
2013-06-15,2013-06-15,"Service payment - Nguyen, Palmer and Gonzalez",REF56972191,0.0,484.94,21169.34
2013-06-15,2013-06-15,"Project payment - Rhodes, Schmidt and Benitez",REF69361938,0.0,658.94,21828.28
2013-06-15,2013-06-15,Payment from Rhodes-Jefferson,REF89283965,0.0,389.42,22217.7
2013-06-15,2013-06-15,Business insurance premium,REF50473325,108.84,0.0,22108.86
2013-06-15,2013-06-15,Accounting expense,REF21163612,212.24,0.0,21896.62
2013-06-15,2013-06-15,Payment from Thomas-Smith,REF96774946,0.0,378.32,22274.94
2013-06-15,2013-06-15,Payment from Neal-Lopez,REF56182885,0.0,491.66,22766.6
2013-06-15,2013-06-15,"Service payment - Fuentes, Stephens and Lee",REF38378040,0.0,446.16,23212.76
2013-06-15,2013-06-15,Service payment - Ayala-French,REF85395894,0.0,260.07,23472.83
2013-06-15,2013-06-15,Business meal,REF85797228,157.37,0.0,23315.46
2013-06-17,2013-06-17,Business travel,REF34406070,421.5,0.0,22893.96
2013-06-21,2013-06-21,Professional software license,REF16271268,180.15,0.0,22713.81
2013-06-25,2013-06-25,Business travel,REF45464210,193.05,0.0,22520.76
2013-06-27,2013-06-27,Business meal,REF46297225,171.08,0.0,22349.68
2013-06-29,2013-06-29,Training/conference,REF86518506,155.34,0.0,22194.34
2013-07-12,2013-07-12,Accounting expense,REF89642881,154.56,0.0,22039.78
2013-07-14,2013-07-14,Marketing expenses,REF18946342,250.78,0.0,21789.0
2013-07-15,2013-07-15,Business insurance premium,REF62595437,97.58,0.0,21691.42
2013-07-15,2013-07-15,"Invoice payment - Rhodes, Schmidt and Benitez",REF66884439,0.0,643.56,22334.98
2013-07-15,2013-07-15,Payment from Schmidt-Moran,REF22742537,0.0,265.33,22600.31
2013-07-15,2013-07-15,Service payment - Ayala-French,REF56453500,0.0,202.74,22803.05
2013-07-15,2013-07-15,"Service payment - Nguyen, Palmer and Gonzalez",REF40438587,0.0,501.68,23304.73
2013-07-15,2013-07-15,"Payment from Fuentes, Stephens and Lee",REF56411267,0.0,372.85,23677.58
2013-07-15,2013-07-15,Payment from Neal-Lopez,REF12908330,0.0,374.54,24052.12
2013-07-15,2013-07-15,Invoice payment - Rhodes-Jefferson,REF49258369,0.0,426.47,24478.59
2013-07-15,2013-07-15,Service payment - Thomas-Smith,REF55645588,0.0,344.1,24822.69
2013-07-16,2013-07-16,Accounting expense,REF31094262,183.19,0.0,24639.5
2013-07-16,2013-07-16,Equipment purchase,REF13157336,116.17,0.0,24523.33
2013-07-20,2013-07-20,Equipment purchase,REF56398682,109.06,0.0,24414.27
2013-07-21,2013-07-21,Professional software license,REF11030506,148.38,0.0,24265.89
2013-07-24,2013-07-24,Business meal,REF13426822,198.99,0.0,24066.9
2013-07-27,2013-07-27,Business meal,REF16143944,97.1,0.0,23969.8
2013-07-28,2013-07-28,Coworking space rental,REF98826811,182.46,0.0,23787.34
2013-08-06,2013-08-06,Business meal,REF77861899,247.56,0.0,23539.78
2013-08-08,2013-08-08,Business travel,REF70170268,379.0,0.0,23160.78
2013-08-11,2013-08-11,Marketing expenses,REF90805668,158.85,0.0,23001.93
2013-08-15,2013-08-15,Business insurance premium,REF15888116,112.34,0.0,22889.59
2013-08-15,2013-08-15,"Project payment - Rhodes, Schmidt and Benitez",REF72749630,0.0,635.35,23524.94
2013-08-15,2013-08-15,Payment from Rhodes-Jefferson,REF28347799,0.0,443.39,23968.33
2013-08-15,2013-08-15,"Payment from Fuentes, Stephens and Lee",REF87778004,0.0,376.89,24345.22
2013-08-15,2013-08-15,"Project payment - Nguyen, Palmer and Gonzalez",REF71332060,0.0,626.55,24971.77
2013-08-15,2013-08-15,Invoice payment - Neal-Lopez,REF82437743,0.0,433.91,25405.68
2013-08-15,2013-08-15,Project payment - Schmidt-Moran,REF26116511,0.0,651.86,26057.54
2013-08-15,2013-08-15,Payment from Thomas-Smith,REF44945126,0.0,275.66,26333.2
2013-08-20,2013-08-20,Accounting expense,REF21659832,188.33,0.0,26144.87
2013-08-21,2013-08-21,Professional software license,REF88520213,165.14,0.0,25979.73
2013-08-26,2013-08-26,Marketing expenses,REF61939580,217.99,0.0,25761.74
2013-08-27,2013-08-27,Business meal,REF22662243,199.6,0.0,25562.14
2013-08-29,2013-08-29,Coworking space rental,REF51674541,161.72,0.0,25400.42
2013-09-02,2013-09-02,Business travel,REF20700079,433.07,0.0,24967.35
2013-09-04,2013-09-04,Business meal,REF78728468,241.26,0.0,24726.09
2013-09-11,2013-09-11,Coworking space rental,REF11651235,173.83,0.0,24552.26
2013-09-11,2013-09-11,Equipment purchase,REF77870562,145.0,0.0,24407.26
2013-09-15,2013-09-15,Business insurance premium,REF41567116,163.74,0.0,24243.52
2013-09-15,2013-09-15,"Invoice payment - Nguyen, Palmer and Gonzalez",REF13067932,0.0,588.42,24831.94
2013-09-15,2013-09-15,Project payment - Neal-Lopez,REF46830275,0.0,663.95,25495.89
2013-09-15,2013-09-15,Project payment - Rhodes-Jefferson,REF46015899,0.0,660.71,26156.6
2013-09-15,2013-09-15,Service payment - Ayala-French,REF62200875,0.0,393.9,26550.5
2013-09-15,2013-09-15,Project payment - Thomas-Smith,REF82785242,0.0,594.19,27144.69
2013-09-15,2013-09-15,Service payment - Schmidt-Moran,REF16330672,0.0,475.91,27620.6
2013-09-15,2013-09-15,"Payment from Rhodes, Schmidt and Benitez",REF86816044,0.0,767.88,28388.48
2013-09-15,2013-09-15,"Project payment - Fuentes, Stephens and Lee",REF21992257,0.0,374.04,28762.52
2013-09-21,2013-09-21,Professional software license,REF20394879,260.45,0.0,28502.07
2013-09-22,2013-09-22,Training/conference,REF72838201,223.13,0.0,28278.94
2013-09-23,2013-09-23,Business travel,REF92166629,525.14,0.0,27753.8
2013-09-23,2013-09-23,Business meal,REF96275955,301.15,0.0,27452.65
2013-09-26,2013-09-26,Business travel,REF20850152,529.73,0.0,26922.92
2013-10-09,2013-10-09,Accounting expense,REF84985993,262.06,0.0,26660.86
2013-10-15,2013-10-15,Training/conference,REF48118105,258.22,0.0,26402.64
2013-10-15,2013-10-15,"Invoice payment - Rhodes, Schmidt and Benitez",REF59034923,0.0,1035.04,27437.68
2013-10-15,2013-10-15,Payment from Ayala-French,REF98236634,0.0,258.79,27696.47
2013-10-15,2013-10-15,Business insurance premium,REF86520314,169.8,0.0,27526.67
2013-10-15,2013-10-15,Payment from Thomas-Smith,REF14129082,0.0,811.13,28337.8
2013-10-15,2013-10-15,"Payment from Fuentes, Stephens and Lee",REF78012073,0.0,537.61,28875.41
2013-10-15,2013-10-15,Service payment - Neal-Lopez,REF35906708,0.0,725.4,29600.81
2013-10-15,2013-10-15,"Project payment - Nguyen, Palmer and Gonzalez",REF26502669,0.0,828.48,30429.29
2013-10-15,2013-10-15,Invoice payment - Schmidt-Moran,REF98833611,0.0,552.42,30981.71
2013-10-15,2013-10-15,Project payment - Rhodes-Jefferson,REF77408811,0.0,727.33,31709.04
2013-10-20,2013-10-20,Business travel,REF88580453,563.61,0.0,31145.43
2013-10-21,2013-10-21,Professional software license,REF76750096,192.92,0.0,30952.51
2013-10-22,2013-10-22,Coworking space rental,REF35147907,176.18,0.0,30776.33
2013-10-22,2013-10-22,Business travel,REF92681578,445.44,0.0,30330.89
2013-10-30,2013-10-30,Business travel,REF86102535,639.47,0.0,29691.42
2013-11-07,2013-11-07,Equipment purchase,REF28653993,226.43,0.0,29464.99
2013-11-08,2013-11-08,Accounting expense,REF78870114,266.47,0.0,29198.52
2013-11-14,2013-11-14,Marketing expenses,REF41846746,196.2,0.0,29002.32
2013-11-15,2013-11-15,Project payment - Schmidt-Moran,REF16860654,0.0,593.84,29596.16
2013-11-15,2013-11-15,Invoice payment - Thomas-Smith,REF23155024,0.0,671.4,30267.56
2013-11-15,2013-11-15,Business insurance premium,REF47074780,161.64,0.0,30105.92
2013-11-15,2013-11-15,"Payment from Rhodes, Schmidt and Benitez",REF28355128,0.0,985.65,31091.57
2013-11-15,2013-11-15,"Project payment - Fuentes, Stephens and Lee",REF35382698,0.0,432.33,31523.9
2013-11-15,2013-11-15,Service payment - Rhodes-Jefferson,REF62841662,0.0,641.9,32165.8
2013-11-15,2013-11-15,Service payment - Neal-Lopez,REF24108008,0.0,458.9,32624.7
2013-11-15,2013-11-15,"Payment from Nguyen, Palmer and Gonzalez",REF50224793,0.0,899.43,33524.13
2013-11-18,2013-11-18,Business meal,REF23598282,261.86,0.0,33262.27
2013-11-21,2013-11-21,Training/conference,REF86515949,146.47,0.0,33115.8
2013-11-21,2013-11-21,Professional software license,REF84964794,200.78,0.0,32915.02
2013-11-26,2013-11-26,Accounting expense,REF34846871,208.4,0.0,32706.62
2013-11-30,2013-11-30,Business meal,REF36512395,329.77,0.0,32376.85
2013-12-03,2013-12-03,Business meal,REF36446487,180.43,0.0,32196.42
2013-12-05,2013-12-05,Accounting expense,REF87291667,255.86,0.0,31940.56
2013-12-10,2013-12-10,Marketing expenses,REF15891586,350.52,0.0,31590.04
2013-12-11,2013-12-11,Marketing expenses,REF73716745,349.61,0.0,31240.43
2013-12-11,2013-12-11,Equipment purchase,REF10914395,160.83,0.0,31079.6
2013-12-12,2013-12-12,Business meal,REF76101243,194.86,0.0,30884.74
2013-12-15,2013-12-15,Service payment - Ayala-French,REF69551836,0.0,299.15,31183.89
2013-12-15,2013-12-15,Project payment - Neal-Lopez,REF30531995,0.0,365.55,31549.44
2013-12-15,2013-12-15,Payment from Schmidt-Moran,REF53688368,0.0,593.17,32142.61
2013-12-15,2013-12-15,Business insurance premium,REF56383375,118.79,0.0,32023.82
2013-12-15,2013-12-15,"Project payment - Fuentes, Stephens and Lee",REF44311078,0.0,532.59,32556.41
2013-12-15,2013-12-15,"Project payment - Rhodes, Schmidt and Benitez",REF35448949,0.0,627.25,33183.66
2013-12-15,2013-12-15,Invoice payment - Rhodes-Jefferson,REF41159317,0.0,482.38,33666.04
2013-12-16,2013-12-16,Training/conference,REF95177609,192.01,0.0,33474.03
2013-12-17,2013-12-17,Business meal,REF47297373,232.39,0.0,33241.64
2013-12-19,2013-12-19,Business travel,REF70686766,179.06,0.0,33062.58
2013-12-19,2013-12-19,Marketing expenses,REF21150477,281.94,0.0,32780.64
2013-12-21,2013-12-21,Professional software license,REF67547041,172.24,0.0,32608.4
2013-12-23,2013-12-23,Business travel,REF83613146,257.03,0.0,32351.37
2013-12-24,2013-12-24,Business meal,REF91817571,231.37,0.0,32120.0
2013-12-27,2013-12-27,Business meal,REF32776190,94.73,0.0,32025.27
2013-12-31,2013-12-31,Training/conference,REF76514266,182.84,0.0,31842.43
2013-12-31,2013-12-31,Business travel,REF89314050,329.21,0.0,31513.22
2014-01-09,2014-01-09,Business travel,REF67514741,428.6,0.0,31084.62
2014-01-09,2014-01-09,Marketing expenses,REF87887248,360.36,0.0,30724.26
2014-01-15,2014-01-15,Business insurance premium,REF69798534,157.34,0.0,30566.92
2014-01-15,2014-01-15,"Service payment - Rhodes, Schmidt and Benitez",REF69999432,0.0,1104.03,31670.95
2014-01-15,2014-01-15,Payment from Neal-Lopez,REF94958303,0.0,670.69,32341.64
2014-01-15,2014-01-15,Project payment - Ayala-French,REF89137025,0.0,297.19,32638.83
2014-01-15,2014-01-15,"Invoice payment - Nguyen, Palmer and Gonzalez",REF17468433,0.0,879.35,33518.18
2014-01-15,2014-01-15,"Payment from Fuentes, Stephens and Lee",REF27724000,0.0,482.62,34000.8
2014-01-15,2014-01-15,Service payment - Thomas-Smith,REF56124326,0.0,546.21,34547.01
2014-01-15,2014-01-15,Invoice payment - Schmidt-Moran,REF38069656,0.0,707.14,35254.15
2014-01-15,2014-01-15,Payment from Rhodes-Jefferson,REF35471941,0.0,553.32,35807.47
2014-01-21,2014-01-21,Professional software license,REF51574905,224.05,0.0,35583.42
2014-01-21,2014-01-21,Business meal,REF86691540,302.62,0.0,35280.8
2014-01-23,2014-01-23,Training/conference,REF11551617,207.9,0.0,35072.9
2014-01-25,2014-01-25,Equipment purchase,REF85616866,91.14,0.0,34981.76
2014-01-25,2014-01-25,Marketing expenses,REF13671527,393.96,0.0,34587.8
2014-01-26,2014-01-26,Coworking space rental,REF16274591,421.45,0.0,34166.35
2014-01-26,2014-01-26,Equipment purchase,REF56621606,177.55,0.0,33988.8
2014-02-02,2014-02-02,Accounting expense,REF67901502,202.44,0.0,33786.36
2014-02-04,2014-02-04,Marketing expenses,REF47996271,178.06,0.0,33608.3
2014-02-08,2014-02-08,Business meal,REF24795082,220.99,0.0,33387.31
2014-02-10,2014-02-10,Equipment purchase,REF79916547,256.57,0.0,33130.74
2014-02-15,2014-02-15,Business insurance premium,REF84211907,144.52,0.0,32986.22
2014-02-15,2014-02-15,Project payment - Neal-Lopez,REF51914602,0.0,539.2,33525.42
2014-02-15,2014-02-15,Payment from Schmidt-Moran,REF55601887,0.0,754.17,34279.59
2014-02-15,2014-02-15,"Project payment - Rhodes, Schmidt and Benitez",REF39484406,0.0,894.48,35174.07
2014-02-15,2014-02-15,"Service payment - Nguyen, Palmer and Gonzalez",REF22445231,0.0,964.21,36138.28
2014-02-15,2014-02-15,Service payment - Ayala-French,REF60013330,0.0,383.97,36522.25
2014-02-15,2014-02-15,Payment from Rhodes-Jefferson,REF33558610,0.0,524.37,37046.62
2014-02-15,2014-02-15,"Invoice payment - Fuentes, Stephens and Lee",REF41716806,0.0,514.94,37561.56
2014-02-15,2014-02-15,Service payment - Thomas-Smith,REF81229852,0.0,452.59,38014.15
2014-02-19,2014-02-19,Equipment purchase,REF24871021,116.5,0.0,37897.65
2014-02-20,2014-02-20,Marketing expenses,REF11347600,175.3,0.0,37722.35
2014-02-21,2014-02-21,Professional software license,REF11844608,242.99,0.0,37479.36
2014-02-27,2014-02-27,Training/conference,REF69466380,220.51,0.0,37258.85
2014-03-07,2014-03-07,Business travel,REF28792809,565.61,0.0,36693.24
