transaction_date,value_date,description,reference,debit,credit,balance
2013-11-30,2013-11-30,Payment from Porter Inc,REF99485010,0.0,518.99,16724.05
2013-11-30,2013-11-30,"Service payment - Nelson, Parks and Campbell",REF50023106,0.0,1135.9,17859.95
2013-11-30,2013-11-30,"Service payment - Mullins, Buckley and Hahn",REF69393077,0.0,612.65,18472.6
2013-12-05,2013-12-05,Fuel purchase,REF49005706,245.53,0.0,18227.07
2013-12-06,2013-12-06,Business materials,REF88588581,411.91,0.0,17815.16
2013-12-06,2013-12-06,Subcontractors expense,REF25132118,729.17,0.0,17085.99
2013-12-09,2013-12-09,Business materials,REF50173933,454.22,0.0,16631.77
2013-12-09,2013-12-09,Fuel purchase,REF14745335,92.97,0.0,16538.8
2013-12-11,2013-12-11,Vehicle Maintenance expense,REF74533569,84.26,0.0,16454.54
2013-12-12,2013-12-12,Fuel purchase,REF84603943,218.05,0.0,16236.49
2013-12-13,2013-12-13,Fuel purchase,REF86122591,272.47,0.0,15964.02
2013-12-14,2013-12-14,Fuel purchase,REF51917626,240.2,0.0,15723.82
2013-12-15,2013-12-15,Service payment - Abbott-Gomez,REF14656034,0.0,906.79,16630.61
2013-12-15,2013-12-15,Invoice payment - Porter Inc,REF93843937,0.0,449.38,17079.99
2013-12-15,2013-12-15,"Invoice payment - Nelson, Parks and Campbell",REF43118579,0.0,631.58,17711.57
2013-12-15,2013-12-15,"Invoice payment - Mullins, Buckley and Hahn",REF18795503,0.0,455.53,18167.1
2013-12-15,2013-12-15,Service payment - Roman-Gonzalez,REF11028778,0.0,574.89,18741.99
2013-12-15,2013-12-15,Business insurance premium,REF27586412,121.18,0.0,18620.81
2013-12-19,2013-12-19,Business materials,REF50108423,332.12,0.0,18288.69
2013-12-20,2013-12-20,Vehicle Maintenance expense,REF78169806,95.68,0.0,18193.01
2013-12-20,2013-12-20,Fuel purchase,REF45957833,163.25,0.0,18029.76
2013-12-21,2013-12-21,Tools expense,REF98040753,38.37,0.0,17991.39
2013-12-28,2013-12-28,Safety Equipment expense,REF46367601,42.12,0.0,17949.27
2013-12-29,2013-12-29,Safety Equipment expense,REF66733170,59.92,0.0,17889.35
2013-12-29,2013-12-29,Fuel purchase,REF65395273,180.85,0.0,17708.5
2013-12-30,2013-12-30,Invoice payment - Abbott-Gomez,REF86261579,0.0,786.12,18494.62
2013-12-30,2013-12-30,"Payment from Mullins, Buckley and Hahn",REF93073490,0.0,477.28,18971.9
2013-12-30,2013-12-30,Invoice payment - Roman-Gonzalez,REF60040104,0.0,430.41,19402.31
2013-12-30,2013-12-30,Invoice payment - Porter Inc,REF77196913,0.0,358.57,19760.88
2013-12-30,2013-12-30,"Service payment - Nelson, Parks and Campbell",REF85877351,0.0,700.59,20461.47
2013-12-31,2013-12-31,Permits Licenses expense,REF64343984,55.52,0.0,20405.95
2014-01-03,2014-01-03,Fuel purchase,REF64752751,147.65,0.0,20258.3
2014-01-04,2014-01-04,Subcontractors expense,REF20624557,685.22,0.0,19573.08
2014-01-11,2014-01-11,Permits Licenses expense,REF44128719,44.38,0.0,19528.7
2014-01-11,2014-01-11,Tools expense,REF42716012,66.29,0.0,19462.41
2014-01-11,2014-01-11,Business materials,REF15651179,496.48,0.0,18965.93
2014-01-12,2014-01-12,Equipment Rental expense,REF16527619,168.86,0.0,18797.07
2014-01-14,2014-01-14,Business materials,REF95151415,591.92,0.0,18205.15
2014-01-14,2014-01-14,Permits Licenses expense,REF25978769,71.25,0.0,18133.9
2014-01-15,2014-01-15,"Project payment - Nelson, Parks and Campbell",REF72422945,0.0,719.68,18853.58
2014-01-15,2014-01-15,Service payment - Abbott-Gomez,REF98413848,0.0,854.18,19707.76
2014-01-15,2014-01-15,Service payment - Porter Inc,REF12950655,0.0,549.53,20257.29
2014-01-15,2014-01-15,"Service payment - Mullins, Buckley and Hahn",REF88211010,0.0,489.56,20746.85
2014-01-15,2014-01-15,Business insurance premium,REF10641178,135.28,0.0,20611.57
2014-01-15,2014-01-15,Invoice payment - Roman-Gonzalez,REF29249130,0.0,719.63,21331.2
2014-01-17,2014-01-17,Permits Licenses expense,REF42653539,72.43,0.0,21258.77
2014-01-22,2014-01-22,Business materials,REF58012210,568.58,0.0,20690.19
2014-01-22,2014-01-22,Fuel purchase,REF89901095,255.5,0.0,20434.69
2014-01-23,2014-01-23,Fuel purchase,REF16640142,230.45,0.0,20204.24
2014-01-24,2014-01-24,Business materials,REF52740874,686.67,0.0,19517.57
2014-01-25,2014-01-25,Subcontractors expense,REF19102277,575.21,0.0,18942.36
2014-01-30,2014-01-30,Project payment - Roman-Gonzalez,REF71152651,0.0,602.35,19544.71
2014-01-30,2014-01-30,"Project payment - Nelson, Parks and Campbell",REF33858146,0.0,780.09,20324.8
2014-01-30,2014-01-30,Payment from Porter Inc,REF95193363,0.0,500.24,20825.04
2014-01-30,2014-01-30,Service payment - Abbott-Gomez,REF18619380,0.0,679.61,21504.65
2014-01-31,2014-01-31,Business materials,REF20324671,328.81,0.0,21175.84
2014-02-06,2014-02-06,Tools expense,REF11071670,80.86,0.0,21094.98
2014-02-07,2014-02-07,Safety Equipment expense,REF59254281,32.7,0.0,21062.28
2014-02-08,2014-02-08,Business materials,REF69099525,154.51,0.0,20907.77
2014-02-10,2014-02-10,Equipment Rental expense,REF84792882,386.52,0.0,20521.25
2014-02-12,2014-02-12,Fuel purchase,REF48008192,305.55,0.0,20215.7
2014-02-15,2014-02-15,Business insurance premium,REF69803448,149.73,0.0,20065.97
2014-02-15,2014-02-15,"Invoice payment - Mullins, Buckley and Hahn",REF62261369,0.0,653.41,20719.38
2014-02-15,2014-02-15,Project payment - Porter Inc,REF51591793,0.0,562.74,21282.12
2014-02-15,2014-02-15,Service payment - Abbott-Gomez,REF39038311,0.0,826.43,22108.55
2014-02-15,2014-02-15,Service payment - Roman-Gonzalez,REF96277002,0.0,720.92,22829.47
2014-02-15,2014-02-15,"Service payment - Nelson, Parks and Campbell",REF73327648,0.0,931.26,23760.73
2014-02-16,2014-02-16,Permits Licenses expense,REF79091972,42.85,0.0,23717.88
2014-02-25,2014-02-25,Business materials,REF52994712,475.16,0.0,23242.72
2014-02-26,2014-02-26,Business materials,REF69759244,597.54,0.0,22645.18
2014-02-28,2014-02-28,Project payment - Abbott-Gomez,REF58977001,0.0,898.06,23543.24
2014-02-28,2014-02-28,"Invoice payment - Nelson, Parks and Campbell",REF23518826,0.0,866.69,24409.93
2014-02-28,2014-02-28,Payment from Porter Inc,REF91299447,0.0,767.82,25177.75
2014-03-03,2014-03-03,Fuel purchase,REF17460928,415.94,0.0,24761.81
2014-03-08,2014-03-08,Business materials,REF10600996,615.63,0.0,24146.18
2014-03-08,2014-03-08,Subcontractors expense,REF32048418,788.86,0.0,23357.32
2014-03-09,2014-03-09,Permits Licenses expense,REF33449029,58.52,0.0,23298.8
2014-03-15,2014-03-15,Business insurance premium,REF74494940,198.46,0.0,23100.34
2014-03-15,2014-03-15,Invoice payment - Abbott-Gomez,REF74483792,0.0,798.54,23898.88
2014-03-15,2014-03-15,"Service payment - Nelson, Parks and Campbell",REF68248928,0.0,1260.17,25159.05
2014-03-15,2014-03-15,Business materials,REF16184317,896.42,0.0,24262.63
2014-03-15,2014-03-15,Payment from Roman-Gonzalez,REF79883488,0.0,895.13,25157.76
2014-03-15,2014-03-15,Invoice payment - Porter Inc,REF70448282,0.0,723.58,25881.34
2014-03-15,2014-03-15,"Service payment - Mullins, Buckley and Hahn",REF47297596,0.0,1092.91,26974.25
2014-03-20,2014-03-20,Equipment Rental expense,REF32378427,213.22,0.0,26761.03
2014-03-23,2014-03-23,Fuel purchase,REF31505240,236.01,0.0,26525.02
2014-03-25,2014-03-25,Business materials,REF55556999,732.38,0.0,25792.64
2014-03-26,2014-03-26,Business materials,REF12866317,742.27,0.0,25050.37
2014-03-30,2014-03-30,Project payment - Porter Inc,REF47719937,0.0,548.09,25598.46
2014-03-30,2014-03-30,Project payment - Roman-Gonzalez,REF40566508,0.0,700.0,26298.46
2014-03-30,2014-03-30,"Service payment - Mullins, Buckley and Hahn",REF49833077,0.0,670.8,26969.26
2014-03-30,2014-03-30,"Service payment - Nelson, Parks and Campbell",REF87517935,0.0,1287.14,28256.4
2014-04-01,2014-04-01,Safety Equipment expense,REF92079304,109.05,0.0,28147.35
2014-04-01,2014-04-01,Business materials,REF10475620,1298.0,0.0,26849.35
2014-04-02,2014-04-02,Fuel purchase,REF79595539,440.97,0.0,26408.38
2014-04-02,2014-04-02,Tools expense,REF36773470,68.54,0.0,26339.84
2014-04-08,2014-04-08,Fuel purchase,REF86418454,382.98,0.0,25956.86
2014-04-13,2014-04-13,Tools expense,REF36922884,148.73,0.0,25808.13
2014-04-15,2014-04-15,Service payment - Abbott-Gomez,REF98431374,0.0,1127.98,26936.11
2014-04-15,2014-04-15,Project payment - Roman-Gonzalez,REF34577127,0.0,1102.22,28038.33
2014-04-15,2014-04-15,Project payment - Porter Inc,REF66849907,0.0,800.41,28838.74
2014-04-15,2014-04-15,"Payment from Nelson, Parks and Campbell",REF61883117,0.0,1512.48,30351.22
2014-04-15,2014-04-15,"Payment from Mullins, Buckley and Hahn",REF82261272,0.0,1184.3,31535.52
2014-04-15,2014-04-15,Business insurance premium,REF80672866,238.86,0.0,31296.66
2014-04-17,2014-04-17,Fuel purchase,REF84063265,236.95,0.0,31059.71
2014-04-25,2014-04-25,Safety Equipment expense,REF82108117,26.95,0.0,31032.76
2014-04-30,2014-04-30,"Payment from Mullins, Buckley and Hahn",REF44103989,0.0,1259.14,32291.9
2014-04-30,2014-04-30,Project payment - Abbott-Gomez,REF56616508,0.0,1453.95,33745.85
2014-04-30,2014-04-30,Service payment - Porter Inc,REF45423806,0.0,831.62,34577.47
2014-04-30,2014-04-30,Permits Licenses expense,REF26631681,88.12,0.0,34489.35
2014-04-30,2014-04-30,Safety Equipment expense,REF52993576,68.25,0.0,34421.1
2014-04-30,2014-04-30,"Payment from Nelson, Parks and Campbell",REF99923554,0.0,1283.72,35704.82
2014-04-30,2014-04-30,Project payment - Roman-Gonzalez,REF69540136,0.0,1095.39,36800.21
2014-05-01,2014-05-01,Equipment Rental expense,REF92683932,841.45,0.0,35958.76
2014-05-05,2014-05-05,Fuel purchase,REF36370443,221.71,0.0,35737.05
2014-05-05,2014-05-05,Equipment Rental expense,REF71501246,459.58,0.0,35277.47
2014-05-07,2014-05-07,Fuel purchase,REF17456689,251.33,0.0,35026.14
2014-05-10,2014-05-10,Fuel purchase,REF27520932,716.44,0.0,34309.7
2014-05-11,2014-05-11,Fuel purchase,REF92512930,397.36,0.0,33912.34
2014-05-12,2014-05-12,Fuel purchase,REF86859911,266.21,0.0,33646.13
2014-05-13,2014-05-13,Permits Licenses expense,REF50326930,131.04,0.0,33515.09
2014-05-15,2014-05-15,Payment from Roman-Gonzalez,REF65000243,0.0,1436.4,34951.49
2014-05-15,2014-05-15,Business insurance premium,REF77855743,281.52,0.0,34669.97
2014-05-15,2014-05-15,Invoice payment - Abbott-Gomez,REF73158949,0.0,1657.26,36327.23
2014-05-15,2014-05-15,"Invoice payment - Mullins, Buckley and Hahn",REF47897247,0.0,1318.98,37646.21
2014-05-15,2014-05-15,"Payment from Nelson, Parks and Campbell",REF59669249,0.0,1484.78,39130.99
2014-05-17,2014-05-17,Permits Licenses expense,REF63945762,195.72,0.0,38935.27
2014-05-21,2014-05-21,Vehicle Maintenance expense,REF99377234,171.55,0.0,38763.72
2014-05-23,2014-05-23,Subcontractors expense,REF57389008,762.88,0.0,38000.84
2014-05-24,2014-05-24,Fuel purchase,REF63016028,437.01,0.0,37563.83
2014-05-26,2014-05-26,Safety Equipment expense,REF24865826,107.81,0.0,37456.02
2014-05-27,2014-05-27,Fuel purchase,REF73422082,363.71,0.0,37092.31
2014-05-28,2014-05-28,Subcontractors expense,REF17423416,1390.1,0.0,35702.21
2014-05-30,2014-05-30,Payment from Roman-Gonzalez,REF33173726,0.0,1138.63,36840.84
2014-05-30,2014-05-30,Invoice payment - Abbott-Gomez,REF75902794,0.0,1208.91,38049.75
2014-05-30,2014-05-30,"Project payment - Mullins, Buckley and Hahn",REF17100959,0.0,905.86,38955.61
2014-05-30,2014-05-30,Payment from Porter Inc,REF81215360,0.0,1023.29,39978.9
2014-05-30,2014-05-30,"Payment from Nelson, Parks and Campbell",REF54684734,0.0,1632.74,41611.64
2014-06-02,2014-06-02,Business materials,REF63708909,1339.46,0.0,40272.18
2014-06-03,2014-06-03,Fuel purchase,REF51806092,363.74,0.0,39908.44
2014-06-08,2014-06-08,Fuel purchase,REF49460695,12.55,0.0,39895.89
2014-06-10,2014-06-10,Fuel purchase,REF63041534,634.93,0.0,39260.96
2014-06-15,2014-06-15,Business insurance premium,REF29411086,258.88,0.0,39002.08
2014-06-15,2014-06-15,Payment from Porter Inc,REF67289814,0.0,1005.2,40007.28
2014-06-15,2014-06-15,Payment from Abbott-Gomez,REF93898142,0.0,1540.06,41547.34
2014-06-15,2014-06-15,"Project payment - Mullins, Buckley and Hahn",REF40051371,0.0,949.71,42497.05
2014-06-15,2014-06-15,Invoice payment - Roman-Gonzalez,REF26561683,0.0,1282.55,43779.6
2014-06-22,2014-06-22,Subcontractors expense,REF42882093,1328.4,0.0,42451.2
2014-06-29,2014-06-29,Fuel purchase,REF84451032,435.89,0.0,42015.31
2014-06-30,2014-06-30,"Invoice payment - Nelson, Parks and Campbell",REF94009563,0.0,1914.33,43929.64
2014-06-30,2014-06-30,Payment from Roman-Gonzalez,REF13828281,0.0,1144.29,45073.93
2014-06-30,2014-06-30,Payment from Porter Inc,REF58939248,0.0,790.04,45863.97
2014-06-30,2014-06-30,"Invoice payment - Mullins, Buckley and Hahn",REF83425113,0.0,1220.61,47084.58
2014-06-30,2014-06-30,Invoice payment - Abbott-Gomez,REF20857756,0.0,1608.04,48692.62
2014-07-04,2014-07-04,Safety Equipment expense,REF59837994,97.58,0.0,48595.04
2014-07-07,2014-07-07,Business materials,REF58663800,985.37,0.0,47609.67
2014-07-09,2014-07-09,Business materials,REF74668937,1161.03,0.0,46448.64
2014-07-09,2014-07-09,Fuel purchase,REF84999180,417.11,0.0,46031.53
2014-07-12,2014-07-12,Permits Licenses expense,REF29268415,83.48,0.0,45948.05
2014-07-12,2014-07-12,Fuel purchase,REF70301355,147.58,0.0,45800.47
2014-07-13,2014-07-13,Fuel purchase,REF11981995,281.49,0.0,45518.98
2014-07-15,2014-07-15,Business insurance premium,REF25351728,234.99,0.0,45283.99
2014-07-15,2014-07-15,"Project payment - Mullins, Buckley and Hahn",REF67016467,0.0,1245.92,46529.91
2014-07-15,2014-07-15,Service payment - Roman-Gonzalez,REF64032767,0.0,1221.43,47751.34
2014-07-15,2014-07-15,Invoice payment - Porter Inc,REF16062700,0.0,851.58,48602.92
2014-07-15,2014-07-15,"Project payment - Nelson, Parks and Campbell",REF89662913,0.0,1396.6,49999.52
2014-07-19,2014-07-19,Fuel purchase,REF59442878,365.9,0.0,49633.62
2014-07-19,2014-07-19,Business materials,REF49984013,790.66,0.0,48842.96
2014-07-20,2014-07-20,Safety Equipment expense,REF72445179,88.54,0.0,48754.42
2014-07-20,2014-07-20,Equipment Rental expense,REF53586132,342.25,0.0,48412.17
2014-07-30,2014-07-30,Service payment - Abbott-Gomez,REF49940311,0.0,1266.81,49678.98
2014-07-30,2014-07-30,Service payment - Roman-Gonzalez,REF83244914,0.0,1498.17,51177.15
2014-07-30,2014-07-30,"Project payment - Nelson, Parks and Campbell",REF53666122,0.0,1711.31,52888.46
2014-07-30,2014-07-30,"Project payment - Mullins, Buckley and Hahn",REF73735709,0.0,869.92,53758.38
2014-07-30,2014-07-30,Invoice payment - Porter Inc,REF35165561,0.0,826.56,54584.94
2014-08-03,2014-08-03,Fuel purchase,REF20795505,321.35,0.0,54263.59
2014-08-07,2014-08-07,Business materials,REF82813810,950.61,0.0,53312.98
2014-08-08,2014-08-08,Subcontractors expense,REF84146125,406.52,0.0,52906.46
2014-08-09,2014-08-09,Vehicle Maintenance expense,REF23334886,138.29,0.0,52768.17
2014-08-11,2014-08-11,Fuel purchase,REF64323860,428.86,0.0,52339.31
2014-08-13,2014-08-13,Subcontractors expense,REF87355534,1842.21,0.0,50497.1
2014-08-15,2014-08-15,Business insurance premium,REF58982683,235.33,0.0,50261.77
2014-08-15,2014-08-15,Project payment - Porter Inc,REF53082864,0.0,838.45,51100.22
2014-08-15,2014-08-15,Payment from Roman-Gonzalez,REF69072470,0.0,1168.09,52268.31
2014-08-15,2014-08-15,"Invoice payment - Nelson, Parks and Campbell",REF42791471,0.0,1576.58,53844.89
2014-08-15,2014-08-15,Service payment - Abbott-Gomez,REF48324796,0.0,1196.62,55041.51
2014-08-15,2014-08-15,"Invoice payment - Mullins, Buckley and Hahn",REF66611967,0.0,1189.81,56231.32
2014-08-17,2014-08-17,Business materials,REF85646245,1061.62,0.0,55169.7
2014-08-18,2014-08-18,Permits Licenses expense,REF13053996,109.12,0.0,55060.58
2014-08-21,2014-08-21,Safety Equipment expense,REF46274945,84.29,0.0,54976.29
2014-08-22,2014-08-22,Business materials,REF10381730,745.59,0.0,54230.7
2014-08-23,2014-08-23,Safety Equipment expense,REF40634648,103.42,0.0,54127.28
2014-08-27,2014-08-27,Permits Licenses expense,REF55222626,94.53,0.0,54032.75
2014-08-28,2014-08-28,Permits Licenses expense,REF39482019,151.95,0.0,53880.8
2014-08-30,2014-08-30,Business materials,REF49532351,910.5,0.0,52970.3
2014-08-30,2014-08-30,"Service payment - Nelson, Parks and Campbell",REF55489982,0.0,1155.96,54126.26
2014-08-30,2014-08-30,Project payment - Abbott-Gomez,REF15925533,0.0,1545.51,55671.77
2014-09-02,2014-09-02,Business materials,REF76201142,930.02,0.0,54741.75
2014-09-05,2014-09-05,Business materials,REF57025822,1524.67,0.0,53217.08
2014-09-09,2014-09-09,Safety Equipment expense,REF82422720,85.47,0.0,53131.61
2014-09-12,2014-09-12,Business materials,REF21010970,1235.64,0.0,51895.97
2014-09-15,2014-09-15,"Service payment - Mullins, Buckley and Hahn",REF32440764,0.0,834.39,52730.36
2014-09-15,2014-09-15,Project payment - Roman-Gonzalez,REF99236731,0.0,979.38,53709.74
2014-09-15,2014-09-15,Project payment - Porter Inc,REF27797540,0.0,927.16,54636.9
2014-09-15,2014-09-15,Service payment - Abbott-Gomez,REF98254831,0.0,1343.5,55980.4
2014-09-15,2014-09-15,Business insurance premium,REF18552450,228.62,0.0,55751.78
2014-09-15,2014-09-15,"Invoice payment - Nelson, Parks and Campbell",REF81839428,0.0,1257.51,57009.29
2014-09-16,2014-09-16,Fuel purchase,REF67430397,257.16,0.0,56752.13
2014-09-23,2014-09-23,Fuel purchase,REF83859088,294.82,0.0,56457.31
2014-09-24,2014-09-24,Equipment Rental expense,REF49582422,398.15,0.0,56059.16
2014-09-26,2014-09-26,Fuel purchase,REF47540554,505.22,0.0,55553.94
2014-09-27,2014-09-27,Business materials,REF26930987,576.76,0.0,54977.18
2014-09-29,2014-09-29,Fuel purchase,REF62217478,306.46,0.0,54670.72
2014-09-30,2014-09-30,Service payment - Porter Inc,REF34221627,0.0,706.94,55377.66
2014-09-30,2014-09-30,"Project payment - Mullins, Buckley and Hahn",REF19060294,0.0,943.71,56321.37
2014-09-30,2014-09-30,"Project payment - Nelson, Parks and Campbell",REF57520434,0.0,712.23,57033.6
2014-09-30,2014-09-30,Payment from Abbott-Gomez,REF52353361,0.0,1364.94,58398.54
2014-10-10,2014-10-10,Vehicle Maintenance expense,REF11345820,163.52,0.0,58235.02
2014-10-11,2014-10-11,Fuel purchase,REF73423776,286.89,0.0,57948.13
2014-10-12,2014-10-12,Business materials,REF95147275,490.97,0.0,57457.16
2014-10-14,2014-10-14,Fuel purchase,REF83208063,338.81,0.0,57118.35
2014-10-15,2014-10-15,Service payment - Abbott-Gomez,REF57129174,0.0,1371.81,58490.16
2014-10-15,2014-10-15,Business insurance premium,REF97437850,212.67,0.0,58277.49
2014-10-15,2014-10-15,"Payment from Mullins, Buckley and Hahn",REF98161022,0.0,1030.87,59308.36
2014-10-15,2014-10-15,Service payment - Roman-Gonzalez,REF42257890,0.0,1077.17,60385.53
2014-10-15,2014-10-15,"Invoice payment - Nelson, Parks and Campbell",REF49910027,0.0,948.07,61333.6
2014-10-15,2014-10-15,Invoice payment - Porter Inc,REF19326800,0.0,813.75,62147.35
2014-10-16,2014-10-16,Tools expense,REF27812168,174.45,0.0,61972.9
2014-10-17,2014-10-17,Fuel purchase,REF40214729,236.37,0.0,61736.53
2014-10-19,2014-10-19,Tools expense,REF15447378,93.46,0.0,61643.07
2014-10-20,2014-10-20,Fuel purchase,REF19531009,229.45,0.0,61413.62
2014-10-21,2014-10-21,Safety Equipment expense,REF71071606,64.64,0.0,61348.98
2014-10-27,2014-10-27,Vehicle Maintenance expense,REF86487344,195.53,0.0,61153.45
2014-10-27,2014-10-27,Fuel purchase,REF65515498,251.92,0.0,60901.53
2014-10-30,2014-10-30,"Payment from Mullins, Buckley and Hahn",REF86261685,0.0,1053.64,61955.17
2014-10-30,2014-10-30,Invoice payment - Roman-Gonzalez,REF58925262,0.0,1021.1,62976.27
2014-10-30,2014-10-30,"Payment from Nelson, Parks and Campbell",REF18557348,0.0,709.89,63686.16
2014-10-30,2014-10-30,Payment from Abbott-Gomez,REF36645377,0.0,979.16,64665.32
2014-10-30,2014-10-30,Project payment - Porter Inc,REF21511033,0.0,914.25,65579.57
2014-10-31,2014-10-31,Fuel purchase,REF79175865,124.61,0.0,65454.96
2014-11-08,2014-11-08,Permits Licenses expense,REF40926724,66.34,0.0,65388.62
2014-11-10,2014-11-10,Business materials,REF69999584,663.71,0.0,64724.91
2014-11-10,2014-11-10,Permits Licenses expense,REF36657287,32.22,0.0,64692.69
2014-11-11,2014-11-11,Fuel purchase,REF73393095,337.05,0.0,64355.64
2014-11-12,2014-11-12,Fuel purchase,REF95324161,156.19,0.0,64199.45
